<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH [TQBR],Daily,20061226,000000,2272.000000,2274.880000,2253.130000,2261.220000,712851.000000
LKOH [TQBR],Daily,20061227,000000,2254.950000,2273.000000,2241.070000,2263.480000,742511.000000
LKOH [TQBR],Daily,20061228,000000,2270.000000,2297.000000,2264.990000,2287.190000,1217309.000000
LKOH [TQBR],Daily,20061229,000000,2285.010000,2291.100000,2272.200000,2282.930000,3606984.000000
LKOH [TQBR],Daily,20070109,000000,2150.000000,2166.000000,2091.020000,2105.470000,1958632.000000
LKOH [TQBR],Daily,20070110,000000,2105.000000,2114.000000,2047.530000,2065.570000,2416868.000000
LKOH [TQBR],Daily,20070111,000000,2049.990000,2108.890000,2040.010000,2100.800000,3001669.000000
LKOH [TQBR],Daily,20070112,000000,2060.000000,2120.000000,2054.990000,2091.140000,2519684.000000
LKOH [TQBR],Daily,20070115,000000,2125.050000,2160.740000,2121.000000,2156.370000,2425195.000000
LKOH [TQBR],Daily,20070116,000000,2145.000000,2168.000000,2080.000000,2092.090000,3996473.000000
LKOH [TQBR],Daily,20070117,000000,2077.490000,2095.000000,2016.190000,2029.020000,3800444.000000
LKOH [TQBR],Daily,20070118,000000,2064.010000,2100.890000,2033.150000,2062.560000,3920003.000000
LKOH [TQBR],Daily,20070119,000000,2040.000000,2089.000000,2030.000000,2083.590000,2845277.000000
LKOH [TQBR],Daily,20070122,000000,2121.000000,2138.000000,2092.000000,2127.380000,2955675.000000
LKOH [TQBR],Daily,20070123,000000,2100.500000,2120.010000,2095.510000,2109.360000,1950783.000000
LKOH [TQBR],Daily,20070124,000000,2149.450000,2190.000000,2125.000000,2137.430000,4613738.000000
LKOH [TQBR],Daily,20070125,000000,2160.950000,2189.000000,2147.120000,2170.740000,2764481.000000
LKOH [TQBR],Daily,20070126,000000,2140.000000,2152.890000,2115.780000,2129.470000,2409758.000000
LKOH [TQBR],Daily,20070129,000000,2158.950000,2163.000000,2082.250000,2089.750000,2196937.000000
LKOH [TQBR],Daily,20070130,000000,2078.000000,2103.870000,2052.050000,2100.600000,2089731.000000
LKOH [TQBR],Daily,20070131,000000,2140.000000,2150.100000,2098.000000,2105.070000,2679954.000000
LKOH [TQBR],Daily,20070201,000000,2142.820000,2172.210000,2136.100000,2149.520000,4191734.000000
LKOH [TQBR],Daily,20070202,000000,2150.560000,2164.990000,2145.010000,2152.560000,2052451.000000
LKOH [TQBR],Daily,20070205,000000,2177.000000,2213.940000,2167.000000,2209.910000,4515184.000000
LKOH [TQBR],Daily,20070206,000000,2201.000000,2251.000000,2197.080000,2228.060000,4364792.000000
LKOH [TQBR],Daily,20070207,000000,2234.540000,2246.000000,2205.160000,2232.750000,3362440.000000
