<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH [TQBR],60,20171005,090000,3032.500000,3032.500000,3032.500000,3032.500000,117.000000
LKOH [TQBR],60,20171005,100000,3034.000000,3045.500000,3032.500000,3039.000000,26094.000000
LKOH [TQBR],60,20171005,110000,3038.000000,3047.000000,3035.000000,3047.000000,27084.000000
LKOH [TQBR],60,20171005,120000,3047.000000,3063.000000,3045.000000,3058.500000,77592.000000
LKOH [TQBR],60,20171005,130000,3058.500000,3061.000000,3042.500000,3054.000000,20312.000000
LKOH [TQBR],60,20171005,140000,3054.000000,3054.000000,3048.000000,3049.500000,19557.000000
LKOH [TQBR],60,20171005,150000,3049.500000,3052.000000,3037.000000,3048.000000,32506.000000
LKOH [TQBR],60,20171005,160000,3048.500000,3064.000000,3040.000000,3060.000000,51887.000000
LKOH [TQBR],60,20171005,170000,3059.000000,3063.500000,3051.500000,3056.000000,92491.000000
LKOH [TQBR],60,20171005,180000,3056.000000,3058.000000,3042.000000,3054.000000,103943.000000
LKOH [TQBR],60,20171006,090000,3052.500000,3052.500000,3052.500000,3052.500000,330.000000
LKOH [TQBR],60,20171006,100000,3054.000000,3072.000000,3054.000000,3069.500000,60545.000000
LKOH [TQBR],60,20171006,110000,3070.000000,3075.500000,3061.000000,3069.500000,41587.000000
LKOH [TQBR],60,20171006,120000,3068.500000,3068.500000,3059.000000,3064.000000,45591.000000
LKOH [TQBR],60,20171006,130000,3064.500000,3067.500000,3062.000000,3065.500000,32512.000000
LKOH [TQBR],60,20171006,140000,3066.500000,3069.500000,3062.500000,3064.000000,28997.000000
LKOH [TQBR],60,20171006,150000,3063.000000,3074.000000,3055.500000,3070.500000,69984.000000
LKOH [TQBR],60,20171006,160000,3070.000000,3074.000000,3061.000000,3063.500000,53463.000000
LKOH [TQBR],60,20171006,170000,3065.000000,3070.000000,3055.500000,3063.500000,73202.000000
LKOH [TQBR],60,20171006,180000,3064.000000,3066.000000,3059.000000,3060.000000,30119.000000
LKOH [TQBR],60,20171009,090000,3060.000000,3060.000000,3060.000000,3060.000000,123.000000
LKOH [TQBR],60,20171009,100000,3063.000000,3069.500000,3044.500000,3049.500000,86296.000000
LKOH [TQBR],60,20171009,110000,3049.000000,3056.500000,3043.500000,3051.000000,60934.000000
LKOH [TQBR],60,20171009,120000,3050.000000,3051.000000,3039.500000,3041.500000,47353.000000
LKOH [TQBR],60,20171009,130000,3043.000000,3052.500000,3042.000000,3047.000000,35378.000000
LKOH [TQBR],60,20171009,140000,3047.000000,3053.000000,3044.500000,3048.000000,65911.000000
LKOH [TQBR],60,20171009,150000,3048.000000,3049.000000,3042.000000,3045.000000,28426.000000
LKOH [TQBR],60,20171009,160000,3046.500000,3050.000000,3044.000000,3050.000000,25987.000000
LKOH [TQBR],60,20171009,170000,3050.000000,3056.000000,3046.500000,3052.500000,35371.000000
LKOH [TQBR],60,20171009,180000,3052.500000,3055.000000,3047.500000,3052.500000,42096.000000
LKOH [TQBR],60,20171010,090000,3053.500000,3053.500000,3053.500000,3053.500000,10.000000
LKOH [TQBR],60,20171010,100000,3050.500000,3050.500000,3022.500000,3027.000000,132679.000000
LKOH [TQBR],60,20171010,110000,3026.500000,3026.500000,3007.000000,3019.500000,122936.000000
LKOH [TQBR],60,20171010,120000,3019.500000,3027.000000,3013.500000,3015.500000,53297.000000
LKOH [TQBR],60,20171010,130000,3015.500000,3029.500000,3015.500000,3029.000000,26551.000000
LKOH [TQBR],60,20171010,140000,3029.000000,3034.000000,3026.000000,3028.500000,25752.000000
LKOH [TQBR],60,20171010,150000,3030.000000,3037.500000,3027.500000,3034.000000,50792.000000
LKOH [TQBR],60,20171010,160000,3034.000000,3041.000000,3032.500000,3035.000000,34060.000000
LKOH [TQBR],60,20171010,170000,3035.000000,3039.000000,3030.500000,3035.000000,29266.000000
LKOH [TQBR],60,20171010,180000,3034.500000,3042.000000,3028.500000,3037.500000,63662.000000
LKOH [TQBR],60,20171011,090000,3042.000000,3042.000000,3042.000000,3042.000000,358.000000
LKOH [TQBR],60,20171011,100000,3041.500000,3049.500000,3036.000000,3048.500000,64466.000000
LKOH [TQBR],60,20171011,110000,3047.500000,3059.000000,3044.000000,3057.500000,63048.000000
LKOH [TQBR],60,20171011,120000,3057.500000,3057.500000,3051.500000,3054.500000,21430.000000
LKOH [TQBR],60,20171011,130000,3055.000000,3056.000000,3049.000000,3053.500000,18301.000000
